"TABLE_NAME","INDEX_NAME","index_type","method","columns","CARDINALITY","NULLABLE"
Document,PRIMARY,UNIQUE,BTREE,documentId,3652,""
DocumentTypeExpiry,PRIMARY,UNIQUE,BTREE,documentTypeExpiryId,1976,""
Helpdesk,fk_helpdesk_type,INDEX,BTREE,type,0,""
Helpdesk,PRIMARY,UNIQUE,BTREE,ticketId,0,""
HrWorkflow,fk_hr_rider,INDEX,BTREE,riderId,793,YES
HrWorkflow,fk_hr_task,INDEX,BTREE,taskId,28,""
HrWorkflow,fk_hr_taskStatus,INDEX,BTREE,taskStatusId,8,""
HrWorkflow,PRIMARY,UNIQUE,BTREE,hrWorkflowId,2379,""
IdSequences,PRIMARY,UNIQUE,BTREE,id,5,""
IdSequences,uq_entity_year,UNIQUE,BTREE,"entityType,yearPrefix",5,""
LeaveRequest,fk_leave_rider,INDEX,BTREE,riderId,145,""
LeaveRequest,PRIMARY,UNIQUE,BTREE,leaveRequestId,145,""
LeaveRequestComment,FK_LeaveRequestComment_LeaveRequest,INDEX,BTREE,leaveRequestId,0,""
LeaveRequestComment,PRIMARY,UNIQUE,BTREE,leaveRequestCommentId,0,""
OrderList,PRIMARY,UNIQUE,BTREE,orderListId,115573,""
OrderList,uq_rider_date,UNIQUE,BTREE,riderId,2140,""
OrderList,uq_rider_date,UNIQUE,BTREE,orderDate,115573,""
OrderValue,batchId,INDEX,BTREE,batchId,17,YES
OrderValue,fk_ordervalue_client,INDEX,BTREE,clientId,2,YES
OrderValue,PRIMARY,UNIQUE,BTREE,orderValueId,34,""
Partner,companyId,INDEX,BTREE,companyId,11,YES
Partner,PRIMARY,UNIQUE,BTREE,partnerId,11,""
PassportRequest,fk_passport_request_type,INDEX,BTREE,type,0,""
PassportRequest,PRIMARY,UNIQUE,BTREE,ticketId,0,""
Payroll,PRIMARY,UNIQUE,BTREE,payrollId,161,""
Payroll,uq_payroll_month_rider,UNIQUE,BTREE,payMonth,4,""
Payroll,uq_payroll_month_rider,UNIQUE,BTREE,riderId,161,""
PayrollEarnings,payrollId,INDEX,BTREE,payrollId,121,""
PayrollEarnings,PRIMARY,UNIQUE,BTREE,payrollEarningId,121,""
PayrollErrorLog,PRIMARY,UNIQUE,BTREE,id,4,""
PayrollExpenses,payrollId,INDEX,BTREE,payrollId,161,""
PayrollExpenses,PRIMARY,UNIQUE,BTREE,payrollExpenseId,161,""
PayrollVehicleEMI,payrollId,INDEX,BTREE,payrollId,0,""
PayrollVehicleEMI,PRIMARY,UNIQUE,BTREE,payrollVehicleEmiId,0,""
Property,PRIMARY,UNIQUE,BTREE,propertyId,8,""
Property,propertyCode,UNIQUE,BTREE,propertyCode,8,YES
Property,propertyName,UNIQUE,BTREE,propertyName,8,""
Rider,fk_rider_company,INDEX,BTREE,companyId,52,YES
Rider,fk_rider_hiretype,INDEX,BTREE,hireTypeId,2,YES
Rider,fk_rider_status,INDEX,BTREE,statusId,24,YES
Rider,PRIMARY,UNIQUE,BTREE,riderId,1778,""
RiderOrder,batchVehicleCategoryId,INDEX,BTREE,batchVehicleCategoryId,4,""
RiderOrder,idx_month_batch,INDEX,BTREE,orderMonth,2,""
RiderOrder,idx_month_batch,INDEX,BTREE,batchNo,12,YES
RiderOrder,idx_order_month_rider,INDEX,BTREE,"riderId,orderMonth",314,""
RiderOrder,PRIMARY,UNIQUE,BTREE,riderOrderId,314,""
RiderOrder,uq_rider_month_batch,UNIQUE,BTREE,"riderId,orderMonth",314,""
RiderOrder,uq_rider_month_batch,UNIQUE,BTREE,batchNo,314,YES
RiderOrderUploadLog,PRIMARY,UNIQUE,BTREE,riderOrderUploadLogId,9,""
RiderPerformance,fk_riderPerformance_rider,INDEX,BTREE,riderId,773,""
RiderPerformance,PRIMARY,UNIQUE,BTREE,riderPerformanceId,773,""
RiderPerformance,uq_riderPerformance,UNIQUE,BTREE,clientId,2,""
RiderPerformance,uq_riderPerformance,UNIQUE,BTREE,"riderId,performanceMonth",773,""
RiderProperty,fk_riderprop_property,INDEX,BTREE,propertyId,16,""
RiderProperty,PRIMARY,UNIQUE,BTREE,riderPropertyId,562,""
RiderProperty,uq_riderprop_property_active,UNIQUE,BTREE,propertyId,562,""
RiderProperty,uq_riderprop_property_active,UNIQUE,BTREE,riderId,562,YES
RiderStatus,PRIMARY,UNIQUE,BTREE,statusId,14,""
RiderVehicleConfig,fk_rider,INDEX,BTREE,riderId,684,YES
RiderVehicleConfig,fk_vehicle,INDEX,BTREE,vehicleId,684,YES
RiderVehicleConfig,PRIMARY,UNIQUE,BTREE,riderVehicleConfigId,684,""
Role,PRIMARY,UNIQUE,BTREE,roleId,7,""
SalesCashDetails,fk_salescashdetails_client,INDEX,BTREE,clientId,2,""
SalesCashDetails,fk_salescashdetails_company,INDEX,BTREE,companyId,8,""
SalesCashDetails,PRIMARY,UNIQUE,BTREE,salesCashDetailsId,209,""
SalesCashDetails,uq_entry_rider_date,UNIQUE,BTREE,"riderId,entryDate",209,""
SalesCashEntry,fk_salescashentry_client,INDEX,BTREE,clientId,2,""
SalesCashEntry,fk_salescashentry_company,INDEX,BTREE,companyId,42,""
SalesCashEntry,fk_salescashentry_rider,INDEX,BTREE,riderId,1390,""
SalesCashEntry,PRIMARY,UNIQUE,BTREE,salesCashEntryId,1390,""
SalesCashEntry,uq_company_date,UNIQUE,BTREE,"clientUserId,entryDate",1390,""
SimCard,fk_simcards_rider,INDEX,BTREE,assignedTo,0,YES
SimCard,mobileNumber,UNIQUE,BTREE,mobileNumber,0,""
SimCard,PRIMARY,UNIQUE,BTREE,simId,0,""
Task,PRIMARY,UNIQUE,BTREE,taskId,14,""
TaskStatus,PRIMARY,UNIQUE,BTREE,taskStatusId,5,""
TicketType,PRIMARY,UNIQUE,BTREE,typeId,9,""
User,email,UNIQUE,BTREE,email,977,""
User,fk_user_rider,INDEX,BTREE,riderId,977,YES
User,PRIMARY,UNIQUE,BTREE,userId,977,""
User,roleId,INDEX,BTREE,roleId,8,""
UserCompany,companyId,INDEX,BTREE,companyId,58,""
UserCompany,PRIMARY,UNIQUE,BTREE,userId,35,""
UserCompany,PRIMARY,UNIQUE,BTREE,companyId,351,""
Vehicle,fk_vehicle_company,INDEX,BTREE,companyId,40,YES
Vehicle,PRIMARY,UNIQUE,BTREE,vehicleId,724,""
VehicleImage,PRIMARY,UNIQUE,BTREE,vehicleImageId,0,""
VehicleImage,unique_daftar_per_vehicle,UNIQUE,BTREE,"vehicleId,isDaftar",0,YES
