"TABLE_NAME","COLUMN_NAME","CHARACTER_SET_NAME","COLLATION_NAME"
Payroll,companyName,latin1,latin1_swedish_ci
Payroll,createdBy,latin1,latin1_swedish_ci
Payroll,clientName,latin1,latin1_swedish_ci
PayrollEarnings,batchNo,latin1,latin1_swedish_ci
PayrollErrorLog,procedureName,latin1,latin1_swedish_ci
PayrollErrorLog,riderId,latin1,latin1_swedish_ci
PayrollErrorLog,companyId,latin1,latin1_swedish_ci
PayrollErrorLog,errorMessage,latin1,latin1_swedish_ci
PayrollVehicleEMI,vehicleId,latin1,latin1_swedish_ci
Permission,name,latin1,latin1_swedish_ci
Permission,code,latin1,latin1_swedish_ci
Property,propertyCode,utf8mb4,utf8mb4_general_ci
Property,propertyName,utf8mb4,utf8mb4_general_ci
Property,description,utf8mb4,utf8mb4_general_ci
Property,createdBy,utf8mb4,utf8mb4_general_ci
Property,updatedBy,utf8mb4,utf8mb4_general_ci
Rider,riderId,utf8mb4,utf8mb4_general_ci
Rider,riderName,utf8mb4,utf8mb4_general_ci
Rider,nationality,utf8mb4,utf8mb4_general_ci
Rider,civilId,utf8mb4,utf8mb4_general_ci
Rider,passportNumber,utf8mb4,utf8mb4_general_ci
Rider,licenseNumber,utf8mb4,utf8mb4_general_ci
Rider,mobileNumber,utf8mb4,utf8mb4_general_ci
Rider,alternateMobileNumber,utf8mb4,utf8mb4_general_ci
Rider,personalEmail,utf8mb4,utf8mb4_general_ci
Rider,suretyPersonName,utf8mb4,utf8mb4_general_ci
Rider,suretyPersonEmail,utf8mb4,utf8mb4_general_ci
Rider,suretyPersonPhone,utf8mb4,utf8mb4_general_ci
Rider,profession,utf8mb4,utf8mb4_general_ci
Rider,companyId,utf8mb4,utf8mb4_general_ci
Rider,remarks,utf8mb4,utf8mb4_general_ci
Rider,createdBy,utf8mb4,utf8mb4_general_ci
Rider,updatedBy,utf8mb4,utf8mb4_general_ci
Rider,employmentType,utf8mb4,utf8mb4_general_ci
RiderOrder,riderId,utf8mb4,utf8mb4_general_ci
RiderOrder,companyId,utf8mb4,utf8mb4_general_ci
RiderOrder,clientId,utf8mb4,utf8mb4_general_ci
RiderOrder,vehicleType,utf8mb4,utf8mb4_general_ci
RiderOrder,batchNo,utf8mb4,utf8mb4_general_ci
RiderOrder,createdBy,utf8mb4,utf8mb4_general_ci
RiderOrder,updatedBy,utf8mb4,utf8mb4_general_ci
RiderOrderUploadLog,companyId,latin1,latin1_swedish_ci
RiderOrderUploadLog,clientId,latin1,latin1_swedish_ci
RiderOrderUploadLog,error,latin1,latin1_swedish_ci
RiderOrderUploadLog,createdBy,latin1,latin1_swedish_ci
RiderOrderUploadLog,fileName,latin1,latin1_swedish_ci
RiderPerformance,clientId,utf8mb4,utf8mb4_general_ci
RiderPerformance,riderId,utf8mb4,utf8mb4_general_ci
RiderPerformance,accountManager,utf8mb4,utf8mb4_general_ci
RiderPerformance,currentZone,utf8mb4,utf8mb4_general_ci
RiderPerformance,createdBy,utf8mb4,utf8mb4_general_ci
RiderPerformance,updatedBy,utf8mb4,utf8mb4_general_ci
RiderProperty,riderId,utf8mb4,utf8mb4_general_ci
RiderProperty,remarks,utf8mb4,utf8mb4_general_ci
RiderProperty,createdBy,utf8mb4,utf8mb4_general_ci
RiderProperty,updatedBy,utf8mb4,utf8mb4_general_ci
RiderStatus,statusName,utf8mb4,utf8mb4_general_ci
RiderVehicleConfig,riderId,utf8mb4,utf8mb4_general_ci
RiderVehicleConfig,vehicleId,utf8mb4,utf8mb4_general_ci
Role,name,utf8mb4,utf8mb4_general_ci
Role,description,utf8mb4,utf8mb4_general_ci
RolePermission,createdBy,latin1,latin1_swedish_ci
RolePermission,updatedBy,latin1,latin1_swedish_ci
SalesCashDetails,clientId,utf8mb4,utf8mb4_general_ci
SalesCashDetails,riderId,utf8mb4,utf8mb4_general_ci
SalesCashDetails,companyId,utf8mb4,utf8mb4_general_ci
SalesCashDetails,companyCode,utf8mb4,utf8mb4_general_ci
SalesCashDetails,status,utf8mb4,utf8mb4_general_ci
SalesCashEntry,clientId,utf8mb4,utf8mb4_general_ci
SalesCashEntry,companyId,utf8mb4,utf8mb4_general_ci
SalesCashEntry,riderId,utf8mb4,utf8mb4_general_ci
SalesCashEntry,remarks,utf8mb4,utf8mb4_general_ci
SalesCashEntry,createdBy,utf8mb4,utf8mb4_general_ci
SimCard,mobileNumber,utf8mb4,utf8mb4_general_ci
SimCard,assignedTo,utf8mb4,utf8mb4_general_ci
SimCard,createdBy,utf8mb4,utf8mb4_general_ci
SimCard,updatedBy,utf8mb4,utf8mb4_general_ci
SimCard,notes,utf8mb4,utf8mb4_general_ci
Task,taskCode,utf8mb4,utf8mb4_general_ci
Task,taskName,utf8mb4,utf8mb4_general_ci
Task,description,utf8mb4,utf8mb4_general_ci
Task,processType,utf8mb4,utf8mb4_general_ci
Task,jsonTemplate,utf8mb4,utf8mb4_general_ci
TaskStatus,taskStatusCode,utf8mb4,utf8mb4_general_ci
TaskStatus,taskStatusName,utf8mb4,utf8mb4_general_ci
TaskStatus,description,utf8mb4,utf8mb4_general_ci
TicketType,type,utf8mb4,utf8mb4_general_ci
TicketType,code,utf8mb4,utf8mb4_general_ci
TicketType,description,utf8mb4,utf8mb4_general_ci
User,userId,utf8mb4,utf8mb4_general_ci
User,firstName,utf8mb4,utf8mb4_general_ci
User,lastName,utf8mb4,utf8mb4_general_ci
User,email,utf8mb4,utf8mb4_general_ci
User,passwordHash,utf8mb4,utf8mb4_general_ci
User,phone,utf8mb4,utf8mb4_general_ci
User,createdBy,utf8mb4,utf8mb4_general_ci
User,updatedBy,utf8mb4,utf8mb4_general_ci
User,Image,utf8mb4,utf8mb4_general_ci
User,riderId,utf8mb4,utf8mb4_general_ci
UserCompany,userId,utf8mb4,utf8mb4_general_ci
UserCompany,companyId,utf8mb4,utf8mb4_general_ci
UserCompany,createdBy,utf8mb4,utf8mb4_general_ci
Vehicle,vehicleId,utf8mb4,utf8mb4_general_ci
Vehicle,vehicleType,utf8mb4,utf8mb4_general_ci
Vehicle,vehicleNumber,utf8mb4,utf8mb4_general_ci
Vehicle,vehicleBrand,utf8mb4,utf8mb4_general_ci
Vehicle,vehicleModel,utf8mb4,utf8mb4_general_ci
Vehicle,remarks,utf8mb4,utf8mb4_general_ci
Vehicle,ownerType,utf8mb4,utf8mb4_general_ci
Vehicle,registeredOn,utf8mb4,utf8mb4_general_ci
Vehicle,spareKeys,utf8mb4,utf8mb4_general_ci
Vehicle,createdBy,utf8mb4,utf8mb4_general_ci
Vehicle,updatedBy,utf8mb4,utf8mb4_general_ci
Vehicle,companyId,utf8mb4,utf8mb4_general_ci
VehicleImage,path,utf8mb4,utf8mb4_general_ci
VehicleImage,createdBy,utf8mb4,utf8mb4_general_ci
VehicleImage,vehicleId,utf8mb4,utf8mb4_general_ci
